BEZEICHNUNG_D,BEZEICHNUNG_I,BEZEICHNUNG_E,ADRESSE_D,ADRESSE_I,PLZ,ORTSCHAFT_D,ORTSCHAFT_I,HOMEPAGE_D,HOMEPAGE_I,TELEFON,TELEFON 2,FAX,EMAIL_I,EMAIL_D,EINTRITT_D,EINTRITT_I,EINTRITT_E,ÖFFNUNGSZEITEN_D,ÖFFNUNGSZEITEN_I,ÖFFNUNGSZEITEN_E,BESCHREIBUNG_D,BESCHREIBUNG_I,BESCHREIBUNG_E,GEOKOORDINATE_X,GEOKOORDINATE_Y
Dorfmuseum Aldein,Museo locale di Aldino,Aldein Museum,Dorfplatz  41,"piazza del Paese, 41",39040,Aldein,Aldino,www.museum-aldein.com,www.museo-aldino.it,+39 338 1085870,,,info@museo-aldino.com,info@museum-aldein.com,freiwillige Spende,offerta libera,voluntary contribution,"Mai-Okt - Fr 16-18 h - Juli, Aug auch Sa 16-18 h","mag-ott - ven h 16-18 - luglio, ago anche sab h 16-18","May-Oct - Fri 4-6 pm - July, Aug also Sat 4-6 pm","Im Dorfmuseum ist sakrale Kunst ausgestellt, die Zeugnis von der Frömmigkeit und den Kunstformen des Barock und Rokoko gibt. Besonderes Juwel ist der Schatz vom Thalhof. Das Museum bewahrt auch Gemälde, Holzschnitte, Münzen und Medaillen aus privaten Sammlungen.","Il Museo locale espone opere di arte sacra che rispecchiano le forme di devozione religiosa e artistiche del barocco e del rococò. Un gioiello particolare è il tesoro del maso Thal. Il museo conserva anche dipinti, sculture lignee, monete e medaglie provenienti da collezioni private.","The village museum exhibits sacred art that bears witness to the piety and art forms of the Baroque and Rococo periods. A special jewel is the treasure of the Thalhof. The museum also preserves paintings, woodcuts, coins and medals from private collections.",11.354077,46.368122
LUMEN - Museum für Bergfotografie,LUMEN - Museo della fotografia di montagna,LUMEN - Museum of Mountain Photography,"Seilbahnstraße 10, Reischach","via funivia 10, Riscone",39031,Bruneck,Brunico,www.lumenmuseum.it,www.lumenmuseum.it,+39 0474 431090,+39 340 1538906,,info@lumenmuseum.it,info@lumenmuseum.it,"17,00 € Erwachsene - 12,00 € 15 bis 25-Jährige, StudentInnen bis 25 Jahre, über 65-Jährige - 10,00 € 6 bis 14-Jährige - 12,00 € Personen mit Beeinträchtigung (Ausweis) - 34,00 € Familienticket (zwei Erwachsene + Kinder 6-14 J.) - Schulklassen 6 bis 19 Jahre: Preis auf Anfrage - HUNDE NICHT ERLAUBT - Kombiticket LUMEN/MMM Corones (gültig an fünf aufeinanderfolgenden Tagen ab Kaufdatum) - 20,00 € Erwachsene - 10,00 € 6 bis 14-Jährige - 40,00 € Familienticket (zwei Erwachsene + Kinder 6-14 J.) - Schulklassen 6 bis 19 Jahre: Preis auf Anfrage - Kombiticket LUMEN + MMM Corones + Kabinenbahn Kronplatz 2000/K 1+2 (Reischach) - 39,00 € Erwachsene - 21,00 € 9-15 Jahre - Kombiticket LUMEN + MMM Corones + Ried-Gipfelbahn (Percha) - 39,00 € Erwachsene - 21,00 € 9-15 Jahre - Kombiticket LUMEN + MMM Corones + Kabinenbahn RUIS (Furkelpass) - nur in der Sommersaison - 36,00 € Erwachsene - 21,00 € 9-15 Jahre","€ 17,00 adulti - € 12,00 giovani dai 15 ai 25 anni, studenti fino a 25 anni, anziani oltre 65 anni - € 10,00 bambini e ragazzi dai 6 ai 14 anni - € 12,00 persone con disabilità (con tessera) - € 34,00 biglietto famiglia (due adulti + bambini 6-14 anni) - classi scolastiche dai 6 ai 19 anni: tariffa a richiesta - CANI NON AMMESSI - Biglietto combinato LUMEN/MMM Corones (valido per cinque giorni consecutivi dal giorno di acquisto) - € 20,00 adulti - € 10,00 bambini e ragazzi dai 6 ai 14 anni - € 40,00 biglietto famiglia (due adulti + bambini 6-14 anni) - classi scolastiche dai 6 ai 19 anni: tariffa a richiesta - Biglietto combinato LUMEN + MMM Corones + cabinovia Plan de Corones 2000/K 1+2 (Riscone) - € 39,00 adulti - € 21,00 9-15 anni - Biglietto combinato LUMEN + MMM Corones + cabinovia Ried-Gipfel (Perca) - € 39,00 adulti - € 21,00 9-15 anni - Biglietto combinato LUMEN + MMM Corones + cabinovia RUIS (Passo Furcia) - solo nella stagione estiva - € 36,00 adulti - € 21,00 9-15 anni","€ 17 adults - € 12 juniors 15-25 years, students till 25 years, seniors from 65 years - € 10 juniors 6-14 years  - € 12 persons with disabilities (with card) - € 34 family ticket (two adults + children 6-14 years) - school classes 6-19 years: price on request - NO DOGS - Combined ticket LUMEN/MMM Corones (valid for five consecutive days) - €20.00 adults - €10.00 juniors 6-14 years - €40.00 family ticket (two adults + children 6-14 years) - school classes 6-19 years: price on request - Combined ticket LUMEN + MMM Corones + gondola lift Kronplatz 2000/K 1+2 (Reischach/Riscone) - €39.00 adults - €21.00 9-15 years - Combined ticket LUMEN + MMM Corones + gondola lift Ried-Gipfel (Percha/Perca) - €39.00 adults - €21.00 9-15 years - Combined ticket LUMEN + MMM Corones + gondola lift RUIS (Furkelpass/Passo Furcia) - only in the summer season - €36.00 adults - €21.00 9-15 years",Ende Mai-Anfang Nov - Ende Nov-Mitte Apr - (entsprechend der Öffnungszeiten der Seilbahn Reischach) - täglich 10-16 h - letzter Einlass 15.30 h,fine mag-inizio nov - fine nov-metà apr - (conformemente agli orari di apertura della funivia di Riscone) - tutti i giorni h 10-16 - ultimo ingresso h 15.30,end-May/beginning of Nov - end-Nov - mid-Apr - (according to the opening time of the cablecar of Reischach/Riscone) - daily h 10-4 pm - last entrance h 3.30 pm,"Auf 2.275 Meter, am Gipfel des Kronplatzes führt das Lumen durch die Geschichte der Bergfotografie von ihren Anfängen bis hin zur Gegenwart und zeigt die Kunst der Bergfotografie aus aller Welt, historische Aufnahmen, digitale Innovationen, Sonderausstellungen sowie Inszenierungen.","Questo museo a 2.275 metri di altitudine in cima al Plan de Corones conduce alla scoperta della storia della fotografia di montagna dagli inizi ad oggi. Propone opere artistiche di fotografi e fotografe da tutto il mondo, fotografie storiche, innovazioni digitali, mostre temporanee e allestimenti scenografici.","Lumen focuses on the history of mountain  photography from its beginnings to the present day, at 2,275 metres, on the summit plateau of Kronplatz/Plan de Corones. It shows the art of mountain photography from all over the world, historical photographs, digital innovations, special exhibitions as well as staged rooms.",11.95582262,46.74139499
Augustiner Chorherrenstift Neustift,Abbazia dei Canonici Agostiniani di Novacella,Augustinian Abbey of Novacella,Stiftstraße 1,"via Abbazia, 1",39040,Vahrn,Varna,www.kloster-neustift.it,www.abbazianovacella.it,+39 0472 836189,,,info@abbazianovacella.it,info@kloster-neustift.it,"10,00 € Erwachsene ohne Führung - 15,00 € Erwachsene mit Führung - 4,00 € Kinder und Jugendliche (6-17      Jahre) - 5,00 € Studenten - Stiftsgarten: - 4,00 € Erwachsene - 2,00 € Kinder und Jugendliche (6-17      Jahre)  - 12,00 € Sommerticket (Stiftsmuseum und      -garten ohne Führung)","€ 10,00 adulti senza visita guidata - € 15,00 adulti con visita guidata - € 4,00 bambini e ragazzi (6-17 anni) - € 5,00 studenti - Giardino abbaziale: - € 4,00 adulti - € 2,00 bambini e ragazzi (6-17 anni)  - € 12,00 biglietto      estivo (museo e giardino abbaziale senza visita guidata)",€10.00 adults without guided tour - €15.00 adults with guided tour - € 4.00 children      and young people (6-17 years) - €5.00 students - Monastery Garden: - €4.00 adults - €2.00 children      and young people (6-17 years)  - €12.00 summer      ticket (Abbey Museum and Monastery Garden without guided tour),"Mo-Sa 10-17 h - Führungen nach Anmeldung - Mo-Fr 11, 14.30 h, Sa 11 h - Sonderführungen für Gruppen, Kinder und Jugendliche - geschl. So, kirchl. Feiertage - Nov-Mär reduzierte Öffnungszeiten  -  - Stiftsgarten:  - Mai-Sep, Do-Sa 10-17 h","lun-sab h 10-17  - visite guidate previa prenotazione - lun-ven 11, 14.30 h, sab 11 h - visite guidate speciali per gruppi, bambini e ragazzi - chiuso dom, festività religiose - nov-mar orari di apertura ridotti -  - Giardino abbaziale: - mag-set, gio-sab h 10-17","Mon-Sat 10-5pm - Guided tours upon request - Mon-Fri 11, 2.30pm, Sat 11 - Special tours for groups, children and young people - Closed Sun, religious holidays - Nov-Mar reduced opening hours  -  - Monastery Garden: - May-Sep, Thu-Sat 10-5pm","Neustift ist mit Kirche, Bibliothekssaal und Garten (alle aus der Barockzeit) eines der bedeutendsten Klöster des Alpenraums. Das Stiftsmuseum präsentiert spätgotische Altartafeln und kostbar ausgemalte Handschriften sowie wissenschaftliche Instrumente und Globen.","Con la sua chiesa, la biblioteca e il giardino (tutti di epoca barocca), Novacella è uno dei monasteri più importanti dell’arco alpino. Il museo abbaziale custodisce pale d’altare tardogotiche e manoscritti riccamente miniati, nonché strumenti scientifici e mappamondi.","Neustift/Novacella is one of the most important monasteries in the Alpine region with its church, library hall and garden (all from the Baroque period). The museum presents late Gothic altarpieces and precious painted manuscripts as well as scientific instruments and globes.",11.64883375,46.74263981
Museum im Weißen Turm,Museo nella Torre Bianca,White Tower Museum,"Pfarrkirche St. Michael, Pfarrplatz","Chiesa parrocchiale S. Michele, Piazza Parrocchia",39042,Brixen,Bressanone,,,+39 0472 836333,+39 0472 837034,+39 0472 836312,pfarramt@pfarrei-brixen.it,pfarramt@pfarrei-brixen.it,"5,00 € Erwachsene  - 3,00 € Kinder, Schülerinnen und Schüler bis 16 J.","€ 5,00 adulti  - € 3,00 bambini, studenti fino ai 16 anni","€5.00 adults  - €3.00 children, students up to 16","Führungen von Karsamstag bis Allerheiligen -  Sa 10.30 h - Gruppen ab 5 Personen auf Anmeldung: - Tel. +39 0472 830505, <a href=""mailto: info@hofburg.it"">info@hofburg.it</a>","visite guidate sab Santo ad Ognissanti  - sab h 10.30 - gruppi a partire da 5 persone su prenotazione: - tel. +39 0472 830505, <a href=""mailto: info@hofburg.it"">info@hofburg.it</a>","Guided tours from Easter Sat till All Saints  - Sat 10.30 (German/Italian) - groups from 5 persons on reservation:  - phone +39 0472 830505, <a href=""mailto: info@hofburg.it"">info@hofburg.it</a>","Im Weißen Turm, einem der Wahrzeichen von Brixen, erklärt eine Ausstellung mit verschiedenen Modellen seine Bedeutung als Stadt- und Pfarrturm. Gezeigt werden u. a. Glocken im Miniaturformat, die Inhalte der Turmkugel, Turmuhren und die Aufgaben der Turmwächter.","La Torre Bianca, uno dei simboli di Bressanone, ospita un museo che, a partire da vari modelli, racconta il suo significato di torre cittadina e campanaria. Espone inoltre campane in miniatura, l’interno dell’originale globo del campanile e illustra i compiti dei guardiani del campanile.","In the White Tower, one of the city's landmarks, an exhibition with various models explains its significance as a town and parish tower. Among other things, miniature bells, the contents of the tower ball, tower sphere and the tasks of the tower guards are on display.",11.65786743,46.71654046
Semirurali-Haus,Casa Semirurale,Semi-rural House,Baristraße 11,via Bari 11,39100,Bozen,Bolzano,www.gemeinde.bozen.it/semiruralihaus,www.comune.bolzano.it/casasemirurale,+39 0471 997581,+39 0471 997588,,7.0.0@comune.bolzano.it,7.0.0@gemeinde.bozen.it,Eintritt frei,Inrgesso libero,Free access,"Sa 14.30-17.30 h - täglich mit Vormerkung (mindestens 6 Personen) - Führungen mit Vormerkung:  - Tel. +39 0471 095474, <a href=""mailto: museenvormerkungen@gemeinde.bozen.it"">museenvormerkungen@gemeinde.bozen.it</a> - geschl. 24., 25., 31. Dez, 1. Jan, Ostern","sab h 14.30-17.30 - tutti i giorni su prenotazione (gruppi min. 6 persone) - visite guidate su prenotazione: - tel. +39 0471 095474, <a href=""mailto: prenotazionimusei@comune.bolzano.it"">prenotazionimusei@comune.bolzano.it</a> - chiuso 24, 25 e 31 dic, 1 gen, Pasqua","Sat 2.30-5.30pm - daily by booking (mindst 6 persons) - guided tours by booking:  - phone +39 0471 095474, <a href=""mailto: museumsbookings@comune.bolzano.it"">museumsbookings@comune.bolzano.it</a> - closed 24, 25, 31 Dec, 1 Jan, Easter",Das Haus in der Baristraße 11 ist eines der letzten Häuser der Semirurali-Zone. Hunderte davon waren Ende der 1930er-Jahre für die Arbeiterfamilien der großen Industriebetriebe in Bozen gebaut worden. Ab den 1980er-Jahren entstanden an ihrer Stelle große Mehrfamilienhäuser. Seit 2015 wird hier eine Reise in die Vergangenheit geboten.,"La Casa di via Bari 11 è uno dei pochi esempi ancora esistenti a Bolzano delle centinaia di case “semirurali” costruite alla fine degli anni Trenta e demolite a partire dagli anni Ottanta del Novecento per far posto a costruzioni a maggiore intensità abitativa. Il percorso espositivo, aperto nel 2015, propone un viaggio nella storia di questo luogo.","This building in Baristraße/via Bari 11 is one of the last remnants of the Semirurali zone. Hundreds of them had been built at the end of the 1930s for the families of the workers of the big industrial companies in Bozen/Bolzano. From the 1980s onwards, large apartment buildings were built in their place. Since 2015, a journey into the past has been offered here.",11.325624,46.486951
K.u.K. Museum Bad Egart,Museo Bagni Egart - K.u.K. - Museo reale e imperiale,Bad Egart Collection ,Bahnhofstraße 17,"Via Stazione, 17",39020,Partschins,Parcines,www.bad-egart.com,www.bad-egart.com,+39 0473 967342,,,museum@bad-egart.com,museum@bad-egart.com,"9,50 € Erwachsene  - 8,50 € Erwachsene ermäßigt (mit Gästekarte, Gruppen ab 15 Personen, Personen mit Behinderung)  - 23 € Familienkarte (2 Erwachsene mit Kinder bis 14 Jahre)  - 14,00 € Familienkarte Klein (ein Elternteil mit Kindern bis 14 Jahren) - 4,50 € Schüler (6-14 Jahre), Schulklassen  - Kinder bis 6 Jahre frei","€ 9,50 adulti  - € 8,50 ridotto (con Meraner GuestCard, gruppi oltre 15 persone, persone con disabilità)  - € 23 carta famiglia (due adulti con figli fino a 14 anni)  - € 14,00 carta famiglia piccola (un genitore con figli fino a 14 anni) - € 4,50 scolari (6-14 anni), scolaresche - entrata gratuita per bambini fino a 6 anni ","€9.50 adults  - €8,50 adults with GuestCard, groups (over 15 people), persons with disabilities - €23.00 Family Card (2 adults, children up to 14) - €14,00 Familiy Card small (1 adult, children up to 14)  - €4.50 students (6-14), shool classes  - free admission for children up to 6 years",Apr-Allerheiligen - Di-So 10.30-15 h,apr-Ognissanti - mar-dom h 10.30-15,Apr-All Saints' Day - Tue-Sun 10.30-3 pm,"Im Bad Egart, dem ältesten Badl Tirols und heutiger Gaststätte, können volkskundliche Objekte und zahlreiche Kuriositäten rund um die K.-u.-k.-Zeit gesammelt von Karl Platino besichtigt werden.","A Bagni Egart, il più antico centro termale del Tirolo, oggi ristorante, è possibile ammirare un’ampia collezione privata sulle tradizioni locali e numerose curiosità sulla monarchia asburgica “imperialregia” (“K.-u.-k.”), raccolte da Karl Platino.","In Bad Egart, the oldest bath in Tyrol and today an inn, folkloristic objects and numerous curiosities relating to the Austro-Hungarian Empire period collected by Karl Platino can be viewed.",11.08078479,46.6719534
Rohrerhaus,Rohrerhaus,Rohrerhaus,Runggenerstraße 10,"Via Ronco, 10",39058,Sarnthein,Sarentino,www.rohrerhaus.it,www.rohrerhaus.it,+39 0471 622644,,,info@rohrerhaus.it,info@rohrerhaus.it,freiwillige Spende,offerta libera,volontary contirbution,"Mitte Juni-Ende Okt - Di, Do, Sa, So 15-18 h - Mi 17.30-20 h - Führungen auf Anfrage","metà giu-fine ott - mar, gio, sab, dom h 15-18 - mer h 17.30-20 - visite guidate su richiesta","Mid-June-end-Oct - Tue, Thu, Sat, Sun 3-6 pm - Wed 5.30-8 pm - guided tours on request","Das Rohrerhaus, erstmals um 1280 erwähnt ist einer der größten Höfe des Sarntales. Es ist ein Ort der Begegnung mit musealem Charakter. Neben Stube, Küche und Stubenkammer gehören auch ein Backofen und eine Mühle zum Bauernhaus.","Il Rohrerhaus, menzionato già nel 1280 e uno dei maggiori masi della Val Sarentino, è un luogo di incontro a carattere museale. Oltre a Stube, cucina e un’altra piccola Stube, fanno parte del complesso anche il forno e il mulino.","The Rohrerhaus, first mentioned around 1280, is one of the largest farms in the valley. It is a meeting place with a museal character. In addition to the parlour, kitchen and parlour chamber, the farmhouse also has an oven and a mill.",11.354027,46.640225
Landesmuseum Bergbau - Standort Schneeberg,Museo provinciale Miniere - sede Monteneve,South Tyrol Mining Museum - Site Schneeberg,Besucherbergwerk,Miniera da visitare,39013,Moos in Passeier,Moso in Passiria,www.bergbaumuseum.it,www.museominiere.it,+39 348 3100443,,,monteneve@museiprovinciali.it,schneeberg@landesmuseen.it ,"Erlebnistour Erzrevier - 25,00 € Erwachsene - 45,00 € Familienkarte - 20,00 € Senioren, Studenten, Menschen mit Beeinträchtigung - 20,00 € Gruppen (ab 12 Personen)  - 12,00 € Schülergruppen (pro Person) - Abenteuertour Schneeberg - 30,00 € Erwachsene - 25,00 € Senioren, Studenten, Menschen mit Beeinträchtigung - 15,00 € Kinder (7-16 Jahre) in Begleitung","Tour alla scoperta del distretto minerario - € 25,00 adulti - € 45,00 biglietto famiglia - € 20,00 seniores, studenti, disabili - € 20,00 gruppi (a partire da 12 persone) - € 12,00 scolaresche (a persona) - Tour avventura a Monteneve - € 30,00 adulti - € 25,00 seniores, studenti, disabili - € 15,00 bambini e ragazzi 7-16 anni con accompagnatore ","Exploring tour of mining area - €25.00 adults - €45.00 family ticket - €20.00 seniors, students, people with dishabilities  - €20.00 groups (of 12 or more) - €12.00 school students (pro person) - Adventure tour of Schneeberg mountain - €30.00 adults - €25.00 seniors, students, people with dishabilities - €15.00 children 7 - 16 years accompanied by parents ",Mitte Juni-Mitte Okt - Führungen mit Anmeldung (+39 348 3100443) - Schutzhütte Schneeberg Tel.: +39 0473 932900,metà giu-metà ott - visite guidate previa prenotazione (+39 348 3100443) -  - Rifugio Monteneve tel.: +39 0473 932900,"Mid of June-Mid of Oct - Guided tours, booking required (+39 348 3100443) -  - Alpine Refuge Tel.: +39 0473 932900","Hier oben haben Knappen jahrhundertelang nach Erz geschürft. Zuerst mit Schlägel und Eisen, später mit schwerem Gerät. In der Knappensiedlung St. Martin lebten bis zu 1.000 Menschen auf 2.355 Meereshöhe weit oberhalb der Waldgrenze. Die höchstgelegene Dauersiedlung Europas war bis in die 1960er-Jahre bewohnt. Heute durchziehen unvorstellbare 150 km Stollen das Bergmassiv. Über Tage hat der intensive Bergbau das Landschaftsbild geprägt und neu geformt. Der Standort Schneeberg ist nur zu Fuß erreichbar.","Qui i minatori hanno estratto minerali per secoli. All’inizio con l’ausilio di punta e mazzetta e poi di macchinari pesanti. Nel villaggio dei minatori di San Martino, l’insediamento permanente più alto d’Europa (2.355 metri s.l.m.), fino agli anni ‘60 del XX secolo vivevano fino a 1.000 persone. Oggi la montagna risulta percorsa da ben 150 chilometri di gallerie, mentre in superficie l’attività mineraria ha modificato e plasmato la conformazione del paesaggio. L’area è raggiungibile solo a piedi.","Up here, miners have been digging for ore for centuries. First with hammers and picks, later with heavy equipment. Up to 1,000 people lived in the miners' settlement of St. Martin/San Martino at 2,355 metres above sea level, far above the timberline. The highest permanent settlement in Europe was inhabited until the 1960s. Today, an unimaginable 150 km of tunnels criss-cross the massif. Above ground, intensive mining has shaped and reshaped the landscape. The site can only be reached on foot.",11.18158,46.89914
Weinbaumuseum Schloss Rametz,Museo del vino Castel Rametz,Winegrowing Museum Rametz Castle,Laberstraße 4,"Via Labers, 4",39012,Meran,Merano,www.rametz.com,www.rametz.com,+39 0473 211011,,,info@rametz.com,info@rametz.com,6 € Erwachsene - Kinder und Jugendliche bis 16 Jahre frei,€ 6 adulti  - gratutito per bambini e adolescenti fino ai 16 anni,€ 6 adults - free admission for children up to 16 years,"Mo-Fr 10-17 h, Sa 10-12 h - Führungen auf Voranmeldung","lun-ven h 10-17, sab h 10-12 - visite guidate su prenotazione","Mon-Fri 10-5 pm, Sat 10-12 - guided tours on reservation","Im privaten Museum der Familie Schmid dokumentieren Geräte und Werkzeuge die Entwicklung des Weinanbaus und der Weinverarbeitung, der Schädlingsbekämpfung und Landwirtschaft im Burggrafenamt sowie die Tradition der Speckherstellung.","In questo museo privato della famiglia Schmid, attrezzi e utensili illustrano lo sviluppo della viticoltura e della lavorazione del vino, della lotta antiparassitaria e dell’agricoltura nel Burgraviato, nonché la tradizione della produzione dello speck.","In the private museum of the Schmid family, equipment and tools document the development of viticulture and wine processing, pest control and agriculture in the area, as well as the tradition of speck production.",11.18547677,46.66758028
Domschatzkammer Bozen,Tesoro del duomo di Bolzano,Cathedral Treasure Chamber of Bozen (Bolzano),"Alte Propstei, Pfarrplatz 27","Antica prepositura, Piazza della Parrocchia, 27",39100,Bozen,Bolzano,my.visim.eu/de/tour/domschatzkammer-bozen,my.visim.eu/it/tour/domschatzkammer-bozen,+39 0471 978676,+39 0471 323814,,info@dompfarre.bz.it,info@dompfarre.bz.it,"3,00 € Erwachsene - 2,00 € Senioren (über 65 Jahre) und Studenten - 1,00 € Kinder und Jugendliche (6-18 Jahre)  - 20,00 € Gruppen (bis 15 Personen)  - 30,00 € Gruppen (bis 30 Personen) - 50,00 € Gruppen (über 30 Personen) - 1,00 € Schulklassen pro Schüler/-in","€ 3,00 adulti - € 2,00 anziani (oltre 65 anni) e studenti - € 1,00 bambini e giovani (6-18 anni) - € 20,00 gruppi (fino a 15 persone)  - € 30,00 gruppi (fino a 30 persone) - € 50,00 gruppi (oltre 30 persone) - € 1,00 classi scolastiche a scolaro",€3.00 adults - €2.00 elderly (over 65 years) and students  - €2.00 children and young people (6-18 years)  - €20.00 groups (under 15 persons)  - €30.00 groups (under 30 persons)  - €50.00 groups (over 30 persons) - €1.00 school classes per student,Di-Sa 10-12.30 h,mar-sab h 10-12.30,Tue-Sat 10-12.30,"Der Domschatz von Bozen enthält eines der umfangreichsten barocken Kircheninventare im Tiroler Raum. Darunter befinden sich liturgische Gewänder, Fahnenbilder und erlesene Goldschmiedearbeiten des 18. Jahrhunderts.","Il tesoro del Duomo di Bolzano è da annoverare fra le più ricche raccolte di arredi sacri di età barocca dell’area tirolese. Vi si trovano preziosi paramenti liturgici, gonfaloni e pregiati prodotti di oreficeria del XVIII secolo.","The cathedral treasury of Bozen/Bolzano contains one of the most extensive Baroque church inventories in the Tyrolean region. Among them are liturgical vestments, painted flags and exquisite 18th entury goldwork.",11.354621,46.497546
Schloss Kastelbell,Castello di Castelbello,Kastelbell Castle,Schlossweg 1,via Castello 1,39020,Kastelbell-Tschars,Castelbello-Ciardes,www.schloss-kastelbell.com,www.schloss-kastelbell.com,+39 0473 624777,+39 0473 624193,,info@schloss-kastelbell.com,info@schloss-kastelbell.com," Kunstausstellungen + Schloss: - 6,00 € Erwachsene - 5,00 € Senioren ab 65, Studenten, Schüler ab 14 Jahren, Zivilinvaliden, -diener - kostenlos für Kinder bis 14 Jahren - 10% Ermäßigung mit VinschgauCard - 10% Gruppenermäßigung ab 15 Personen - 50% Ermäßigung mit Südtiroler Kulturpass - kostenlos für Grund- und Mittelschüler mit Begleitperson während der Öffnungszeiten - Führungen: - 6,00 € Erwachsene - 5,00 € Senioren ab 65, Studenten, Schüler ab 14 Jahren, Zivilinvaliden, -diener - kostenlos für Kinder bis 14 Jahren - 10% Ermäßigung mit VinschgauCard - 10% Gruppenermäßigung ab 15 Personen - kostenlos für Grund- und Mittelschüler mit Begleitperson während der Öffnungszeiten - 50,00 € Schlossführungen außerhalb der offiziellen Zeiten zzgl. Eintritt - 50,00 € Fachkundige Kunstführung 50 min. zzgl. Eintritt"," Mostre d'arte + castello: - € 6,00 adulti - € 5,00 anziani over 65, studenti, ragazzi con più di 14 anni, invalidi civili, operatori servizio civile - gratis per bambini con meno di 14 anni - 10% riduzione con VenostaCard - 10% riduzione per gruppi di min. 15 persone - 50 % riduzione con Kulturpass dell'Alto Adige - gratis per studenti di elementari e medie con accompagnatore durante gli orari di apertura - Visite guidate: - € 6,00 adulti - € 5,00 anziani over 65, studenti, ragazzi con più di 14 anni, invalidi civili, operatori servizio civile - gratis per bambini con meno di 14 anni - 10% riduzione con VenostaCard - 10% riduzione per gruppi di min. 15 persone - gratis per studenti di elementari e medie con accompagnatore durante gli orari di apertura - € 50,00 visite guidate del castello al di fuori degli orari ufficiali + ingresso - € 50,00 visita guidata con esperto d'arte, 50 min. + ingresso"," Art exhibitions + castle: - €6,00 adults - €5,00 elderly (over 65), students, young people (over 14), disabled persons - free for children up to 14 - 10% reduction with VinschgauCard - 10% reduction for groups (min. 15 persons) - 50 % reduction with Kulturpass Südtirol - free for students of elementary and middle schools with teacher during the opening time  - Guided tours: - €6,00 adults - €5,00 elderly (over 65), students, young people (over 14), disabled persons - free for children up to 14 - 10% reduction with VinschgauCard - 10% reduction for groups (min. 15 persons) - 50 % reduction with Kulturpass Südtirol - free for students of elementary and middle schools with teacher during the opening time  - € 50,00 guided tour of the castle out of the official hours + admission - € 50,00 guided tour with art expert, 50 min. + admission","Ausstellungen: - Mitte April-Juni, Mitte Sep-Okt - Di-Sa 14-18 h, So, feiertags 11-18 h - Schlossführungen: - Juli-Mitte Sep - Di-So 10, 11, 14, 15 h","mostre: - metà apr-giugno, metà set-ott  - mar-sab h 14-18, dom, festivi h 11-18 - visite guidate al castello: - lug-metà set - mar-dom h 10, 11, 14, 15","Exhibitions: - mid-Apr-June, mid-Sep-Oct - Tue-Sat 2-6 pm, Sun, public holidays 11-6 pm - Castle guided tours: - July-mid-Sep - Tue-Sun 10, 11, 2, 3 pm",Schloss Kastelbell geht auf das 13. Jahrhundert zurück. Eine Dauerausstellung zur Via Claudia Augusta und zwei jährlich wechselnde zeitgenössische Kunstausstellungen zählen zum kulturellen Programm.,Il Castello di Castelbello risale al XIII secolo. Le sue proposte culturali includono una mostra permanente sulla Via Claudia Augusta e due mostre temporanee d’arte contemporanea all’anno.,The castle dates to the 13th century. A permanent exhibition on the Via Claudia Augusta and changing contemporary art exhibitions every year are part of the cultural programme.,10.898188,46.628266
7 Gärten Kränzelhof,7 Giardini Kränzelhof,7 Gardens Kränzelhof,Gampenstraße 1,via Palade 1,39010,Tscherms,Cermes,www.kraenzelhof.it,www.kraenzelhof.it,+39 0473 564549,,+39 0473 554806,info@kraenzelhof.it,info@kraenzelhof.it,"8,00 € Erwachsene - 4,90 € Kinder - Familienkarte: 16,00 € zwei Erwachsene, Kinder jew. 2,90 € (unter 5 Jahren frei)","€ 8,00 adulti - € 4,90 bambini  - carta famiglia: € 16,00 due adulti, bambini risp. € 2,90 (gratuito fino ai 5 anni) ","€8.00 adults - €4.90 children - family card: €16.00 two adults, children resp. €2.90 (free up to 5)",Ende März - Nov  - täglich 9.30 - 19 Uhr,fine marzo - nov - tutti i giorni ore 9.30-19,end-March - Nov - daily 9.30 am - 7 pm,Der mittelalterliche Ansitz Kränzelhof ist von Weinbergen und den „7 Gärten“ umgeben. Sie bieten den Rahmen für ein vielfältiges Kulturprogramm mit Skulpturenausstellungen.,"La residenza medievale Kränzelhof è circondata dai propri vigneti e dai ""7 Giardini"", cornice per un ampio programma culturale con mostre di sculture.","The medieval Kränzelhof estate is surrounded by vineyards and the ""7 gardens"". They provide the setting for a diverse cultural programme with sculpture exhibitions.",11.147737,46.625965
